city;county;code;region;capital
Теберда;(региональное);09;Карачаево-Черкесская Республика;-
Усть-Джегута;Усть-Джегутинский Район;09;Карачаево-Черкесская Республика;района
Черкесск;(региональное);09;Карачаево-Черкесская Республика;региона
Беломорск;Беломорский Район;10;Карелия Республика;района
Кемь;Кемский Район;10;Карелия Республика;-
Кондопога;Кондопожский Район;10;Карелия Республика;района
Костомукша;(региональное);10;Карелия Республика;-
Лахденпохья;Лахденпохский Район;10;Карелия Республика;района
Медвежьегорск;Медвежьегорский Район;10;Карелия Республика;района
Олонец;Олонецкий Район;10;Карелия Республика;района
Петрозаводск;(региональное);10;Карелия Республика;региона
Питкяранта;Питкярантский Район;10;Карелия Республика;района
Пудож;Пудожский Район;10;Карелия Республика;района
Сегежа;Сегежский Район;10;Карелия Республика;района
Сортавала;(региональное);10;Карелия Республика;-
Суоярви;Суоярвский Район;10;Карелия Республика;района
Воркута;(региональное);11;Коми Республика;-
Вуктыл;(региональное);11;Коми Республика;-
Емва;Княжпогостский Район;11;Коми Республика;района
Инта;(региональное);11;Коми Республика;-
Микунь;Усть-Вымский Район;11;Коми Республика;-
Печора;(региональное);11;Коми Республика;-
Сосногорск;(региональное);11;Коми Республика;-
Сыктывкар;(региональное);11;Коми Республика;региона
Усинск;(региональное);11;Коми Республика;-
Ухта;(региональное);11;Коми Республика;-
Волжск;(региональное);12;Марий Эл Республика;-
Звенигово;Звениговский Район;12;Марий Эл Республика;района
Йошкар-Ола;(региональное);12;Марий Эл Республика;региона
Козьмодемьянск;(региональное);12;Марий Эл Республика;-
Ардатов;Ардатовский Район;13;Мордовия Республика;района
Инсар;Инсарский Район;13;Мордовия Республика;района
Ковылкино;(региональное);13;Мордовия Республика;района
Краснослободск;Краснослободский Район;13;Мордовия Республика;района
Рузаевка;(региональное);13;Мордовия Республика;района
Саранск;(региональное);13;Мордовия Республика;региона
Темников;Темниковский Район;13;Мордовия Республика;района
Алдан;Алданский Улус;14;Саха /Якутия/ Республика;района
Верхоянск;Верхоянский Улус;14;Саха /Якутия/ Республика;-
Вилюйск;Вилюйский Улус;14;Саха /Якутия/ Республика;района
Ленск;Ленский Улус;14;Саха /Якутия/ Республика;района
Мирный;Мирнинский Улус;14;Саха /Якутия/ Республика;района
Нерюнгри;(региональное);14;Саха /Якутия/ Республика;-
Нюрба;Нюрбинский Улус;14;Саха /Якутия/ Республика;района
Олекминск;Олекминский Улус;14;Саха /Якутия/ Республика;района
Покровск;Хангаласский Улус;14;Саха /Якутия/ Республика;района
Среднеколымск;Среднеколымский Улус;14;Саха /Якутия/ Республика;района
Томмот;Алданский Улус;14;Саха /Якутия/ Республика;-
Удачный;Мирнинский Улус;14;Саха /Якутия/ Республика;-
Якутск;(региональное);14;Саха /Якутия/ Республика;региона
Алагир;Алагирский Район;15;Северная Осетия - Алания Республика;района
Ардон;Ардонский Район;15;Северная Осетия - Алания Республика;района
Беслан;Правобережный Район;15;Северная Осетия - Алания Республика;района
Владикавказ;(региональное);15;Северная Осетия - Алания Республика;региона
Дигора;Дигорский Район;15;Северная Осетия - Алания Республика;района
Моздок;Моздокский Район;15;Северная Осетия - Алания Республика;района
Агрыз;Агрызский Район;16;Татарстан Республика;района
Азнакаево;Азнакаевский Район;16;Татарстан Республика;района
Альметьевск;Альметьевский Район;16;Татарстан Республика;района
Арск;Арский Район;16;Татарстан Республика;района
Бавлы;Бавлинский Район;16;Татарстан Республика;района
Болгар;Спасский Район;16;Татарстан Республика;района
Бугульма;Бугульминский Район;16;Татарстан Республика;района
Буинск;Буинский Район;16;Татарстан Республика;района
Елабуга;Елабужский Район;16;Татарстан Республика;района
Заинск;Заинский Район;16;Татарстан Республика;района
Зеленодольск;Зеленодольский Район;16;Татарстан Республика;района
Казань;(региональное);16;Татарстан Республика;региона
Лаишево;Лаишевский Район;16;Татарстан Республика;района
Лениногорск;Лениногорский Район;16;Татарстан Республика;района
Мамадыш;Мамадышский Район;16;Татарстан Республика;района
Менделеевск;Менделеевский Район;16;Татарстан Республика;района
Мензелинск;Мензелинский Район;16;Татарстан Республика;района
Набережные Челны;(региональное);16;Татарстан Республика;-
Нижнекамск;Нижнекамский Район;16;Татарстан Республика;района
Нурлат;Нурлатский Район;16;Татарстан Республика;района
Тетюши;Тетюшский Район;16;Татарстан Республика;района
Чистополь;Чистопольский Район;16;Татарстан Республика;района
Ак-Довурак;(региональное);17;Тыва Республика;-
Кызыл;(региональное);17;Тыва Республика;региона
Туран;Пий-Хемский Район;17;Тыва Республика;района
Чадан;Дзун-Хемчикский Район;17;Тыва Республика;района
Шагонар;Улуг-Хемский Район;17;Тыва Республика;района
Воткинск;(региональное);18;Удмуртская Республика;-
Глазов;(региональное);18;Удмуртская Республика;-
Ижевск;(региональное);18;Удмуртская Республика;региона
Камбарка;Камбарский Район;18;Удмуртская Республика;района
Можга;(региональное);18;Удмуртская Республика;-
Сарапул;(региональное);18;Удмуртская Республика;-
Абаза;(региональное);19;Хакасия Республика;-
Абакан;(региональное);19;Хакасия Республика;региона
Саяногорск;(региональное);19;Хакасия Республика;-
Сорск;(региональное);19;Хакасия Республика;-
Черногорск;(региональное);19;Хакасия Республика;-
Аргун;(региональное);20;Чеченская Республика;-
Грозный;(региональное);20;Чеченская Республика;региона
Гудермес;Гудермесский Район;20;Чеченская Республика;района
Урус-Мартан;Урус-Мартановский Район;20;Чеченская Республика;района
Шали;Шалинский Район;20;Чеченская Республика;района
Алатырь;(региональное);21;Чувашская Республика - Чувашия;-
Канаш;(региональное);21;Чувашская Республика - Чувашия;-
Козловка;Козловский Район;21;Чувашская Республика - Чувашия;района
Мариинский Посад;Мариинско-Посадский Район;21;Чувашская Республика - Чувашия;района
Новочебоксарск;(региональное);21;Чувашская Республика - Чувашия;-
Цивильск;Цивильский Район;21;Чувашская Республика - Чувашия;района
Чебоксары;(региональное);21;Чувашская Республика - Чувашия;региона
Шумерля;(региональное);21;Чувашская Республика - Чувашия;-
Ядрин;Ядринский Район;21;Чувашская Республика - Чувашия;района
Алейск;(региональное);22;Алтайский Край;-
Барнаул;(региональное);22;Алтайский Край;региона
Белокуриха;(региональное);22;Алтайский Край;-
Бийск;(региональное);22;Алтайский Край;-
Горняк;Локтевский Район;22;Алтайский Край;района
Заринск;(региональное);22;Алтайский Край;-
Змеиногорск;Змеиногорский Район;22;Алтайский Край;района
Камень-на-Оби;(региональное);22;Алтайский Край;-
Новоалтайск;(региональное);22;Алтайский Край;-
Рубцовск;(региональное);22;Алтайский Край;-
Славгород;(региональное);22;Алтайский Край;-
Яровое;(региональное);22;Алтайский Край;-
Абинск;Абинский Район;23;Краснодарский Край;района
Анапа;Анапский Район;23;Краснодарский Край;района
Апшеронск;Апшеронский Район;23;Краснодарский Край;района
Армавир;(региональное);23;Краснодарский Край;-
Белореченск;Белореченский Район;23;Краснодарский Край;района
Геленджик;(региональное);23;Краснодарский Край;-
Горячий Ключ;(региональное);23;Краснодарский Край;-
Гулькевичи;Гулькевичский Район;23;Краснодарский Край;района
Ейск;Ейский Район;23;Краснодарский Край;района
Кореновск;Кореновский Район;23;Краснодарский Край;района
Краснодар;(региональное);23;Краснодарский Край;региона
Кропоткин;Кавказский Район;23;Краснодарский Край;-
Крымск;Крымский Район;23;Краснодарский Край;района
Курганинск;Курганинский Район;23;Краснодарский Край;района
Лабинск;Лабинский Район;23;Краснодарский Край;района
Новокубанск;Новокубанский Район;23;Краснодарский Край;района
Новороссийск;(региональное);23;Краснодарский Край;-
Приморско-Ахтарск;Приморско-Ахтарский Район;23;Краснодарский Край;района
Славянск-на-Кубани;Славянский Район;23;Краснодарский Край;района
Сочи;(региональное);23;Краснодарский Край;-
Темрюк;Темрюкский Район;23;Краснодарский Край;района
Тимашевск;Тимашевский Район;23;Краснодарский Край;района
Тихорецк;Тихорецкий Район;23;Краснодарский Край;района
Туапсе;Туапсинский Район;23;Краснодарский Край;района
Усть-Лабинск;Усть-Лабинский Район;23;Краснодарский Край;района
Хадыженск;Апшеронский Район;23;Краснодарский Край;-
Артемовск;Курагинский Район;24;Красноярский Край;-
Ачинск;(региональное);24;Красноярский Край;-
Боготол;(региональное);24;Красноярский Край;-
Бородино;(региональное);24;Красноярский Край;-
Дивногорск;(региональное);24;Красноярский Край;-
Дудинка;Таймырский Долгано-Ненецкий Район;24;Красноярский Край;района
Енисейск;(региональное);24;Красноярский Край;-
Железногорск;(региональное);24;Красноярский Край;-
Заозерный;Рыбинский Район;24;Красноярский Край;-
Зеленогорск;(региональное);24;Красноярский Край;-
Игарка;Туруханский Район;24;Красноярский Край;-
Иланский;Иланский Район;24;Красноярский Край;района
Канск;(региональное);24;Красноярский Край;-
Кодинск;Кежемский Район;24;Красноярский Край;района
Красноярск;(региональное);24;Красноярский Край;региона
Лесосибирск;(региональное);24;Красноярский Край;-
Минусинск;(региональное);24;Красноярский Край;-
Назарово;(региональное);24;Красноярский Край;-
Норильск;(региональное);24;Красноярский Край;-
Сосновоборск;(региональное);24;Красноярский Край;-
Ужур;Ужурский Район;24;Красноярский Край;района
Уяр;Уярский Район;24;Красноярский Край;района
Шарыпово;(региональное);24;Красноярский Край;-
Арсеньев;(региональное);25;Приморский Край;-
Артем;(региональное);25;Приморский Край;-
Большой Камень;(региональное);25;Приморский Край;-
Владивосток;(региональное);25;Приморский Край;региона
Дальнегорск;(региональное);25;Приморский Край;-
Дальнереченск;(региональное);25;Приморский Край;-
Лесозаводск;(региональное);25;Приморский Край;-
Находка;(региональное);25;Приморский Край;-
Партизанск;(региональное);25;Приморский Край;-
Спасск-Дальний;(региональное);25;Приморский Край;-
Уссурийск;(региональное);25;Приморский Край;-
Фокино;(региональное);25;Приморский Край;-
Благодарный;Благодарненский Район;26;Ставропольский Край;района
Буденновск;Буденновский Район;26;Ставропольский Край;района
Георгиевск;(региональное);26;Ставропольский Край;-
Ессентуки;(региональное);26;Ставропольский Край;-
Железноводск;(региональное);26;Ставропольский Край;-
Зеленокумск;Советский Район;26;Ставропольский Край;района
Изобильный;Изобильненский Район;26;Ставропольский Край;района
Ипатово;Ипатовский Район;26;Ставропольский Край;района
Кисловодск;(региональное);26;Ставропольский Край;-
Лермонтов;(региональное);26;Ставропольский Край;-
Минеральные Воды;Минераловодский Район;26;Ставропольский Край;района
Михайловск;Шпаковский Район;26;Ставропольский Край;района
Невинномысск;(региональное);26;Ставропольский Край;-
Нефтекумск;Нефтекумский Район;26;Ставропольский Край;района
Новоалександровск;Новоалександровский Район;26;Ставропольский Край;района
Новопавловск;Кировский Район;26;Ставропольский Край;района
Пятигорск;(региональное);26;Ставропольский Край;-
Светлоград;Петровский Район;26;Ставропольский Край;района
Ставрополь;(региональное);26;Ставропольский Край;региона
Амурск;(региональное);27;Хабаровский Край;-
Бикин;(региональное);27;Хабаровский Край;-
Вяземский;Вяземский Район;27;Хабаровский Край;района
Комсомольск-на-Амуре;(региональное);27;Хабаровский Край;-
Николаевск-на-Амуре;(региональное);27;Хабаровский Край;-
Советская Гавань;(региональное);27;Хабаровский Край;-
Хабаровск;(региональное);27;Хабаровский Край;региона
Белогорск;(региональное);28;Амурская Область;-
Благовещенск;(региональное);28;Амурская Область;региона
Завитинск;Завитинский Район;28;Амурская Область;района
Зея;(региональное);28;Амурская Область;-
Райчихинск;(региональное);28;Амурская Область;-
Свободный;(региональное);28;Амурская Область;-
Сковородино;Сковородинский Район;28;Амурская Область;района
Тында;(региональное);28;Амурская Область;-
Шимановск;(региональное);28;Амурская Область;-
Архангельск;(региональное);29;Архангельская Область;региона
Вельск;Вельский Район;29;Архангельская Область;района
Каргополь;Каргопольский Район;29;Архангельская Область;района
Коряжма;(региональное);29;Архангельская Область;-
Котлас;Котласский Район;29;Архангельская Область;района
Мезень;Мезенский Район;29;Архангельская Область;района
Мирный;(региональное);29;Архангельская Область;-
Новодвинск;(региональное);29;Архангельская Область;-
Няндома;Няндомский Район;29;Архангельская Область;района
Онега;Онежский Район;29;Архангельская Область;района
Северодвинск;(региональное);29;Архангельская Область;-
Сольвычегодск;Котласский Район;29;Архангельская Область;-
Шенкурск;Шенкурский Район;29;Архангельская Область;района
Астрахань;(региональное);30;Астраханская Область;региона
Ахтубинск;Ахтубинский Район;30;Астраханская Область;района
Ахтубинск-7;Ахтубинский Район;30;Астраханская Область;-
Знаменск;(региональное);30;Астраханская Область;-
Камызяк;Камызякский Район;30;Астраханская Область;района
Нариманов;Наримановский Район;30;Астраханская Область;района
Харабали;Харабалинский Район;30;Астраханская Область;района
Алексеевка;Алексеевский Район;31;Белгородская Область;района
Белгород;(региональное);31;Белгородская Область;региона
Бирюч;Красногвардейский Район;31;Белгородская Область;района
Валуйки;Валуйский Район;31;Белгородская Область;района
Грайворон;Грайворонский Район;31;Белгородская Область;района
Губкин;(региональное);31;Белгородская Область;района
Короча;Корочанский Район;31;Белгородская Область;района
Новый Оскол;Новооскольский Район;31;Белгородская Область;района
Старый Оскол;(региональное);31;Белгородская Область;района
Строитель;Яковлевский Район;31;Белгородская Область;района
Шебекино;(региональное);31;Белгородская Область;района
Брянск;(региональное);32;Брянская Область;региона
Дятьково;Дятьковский Район;32;Брянская Область;района
Жуковка;Жуковский Район;32;Брянская Область;района
Злынка;Злынковский Район;32;Брянская Область;района
Карачев;Карачевский Район;32;Брянская Область;района
Клинцы;(региональное);32;Брянская Область;-
Мглин;Мглинский Район;32;Брянская Область;района
Новозыбков;(региональное);32;Брянская Область;-
Почеп;Почепский Район;32;Брянская Область;района
Севск;Севский Район;32;Брянская Область;района
Сельцо;(региональное);32;Брянская Область;-
Стародуб;Стародубский Район;32;Брянская Область;района
Сураж;Суражский Район;32;Брянская Область;района
Трубчевск;Трубчевский Район;32;Брянская Область;района
Унеча;Унечский Район;32;Брянская Область;района
Фокино;Дятьковский Район;32;Брянская Область;-
Александров;Александровский Район;33;Владимирская Область;района
Владимир;(региональное);33;Владимирская Область;региона
Вязники;Вязниковский Район;33;Владимирская Область;района
Гороховец;Гороховецкий Район;33;Владимирская Область;района
Гусь-Хрустальный;(региональное);33;Владимирская Область;-
Камешково;Камешковский Район;33;Владимирская Область;района
Карабаново;Александровский Район;33;Владимирская Область;-
Киржач;Киржачский Район;33;Владимирская Область;района
Ковров;(региональное);33;Владимирская Область;-
Кольчугино;Кольчугинский Район;33;Владимирская Область;района
Костерево;Петушинский Район;33;Владимирская Область;-
Курлово;Гусь-Хрустальный Район;33;Владимирская Область;-
Лакинск;Собинский Район;33;Владимирская Область;-
Меленки;Меленковский Район;33;Владимирская Область;района
Муром;(региональное);33;Владимирская Область;-
Петушки;Петушинский Район;33;Владимирская Область;района
Покров;Петушинский Район;33;Владимирская Область;-
Радужный;(региональное);33;Владимирская Область;-
Собинка;Собинский Район;33;Владимирская Область;района
Струнино;Александровский Район;33;Владимирская Область;-
Судогда;Судогодский Район;33;Владимирская Область;района
Суздаль;Суздальский Район;33;Владимирская Область;района
Юрьев-Польский;Юрьев-Польский Район;33;Владимирская Область;района
Волгоград;(региональное);34;Волгоградская Область;региона
Волжский;(региональное);34;Волгоградская Область;-
Дубовка;Дубовский Район;34;Волгоградская Область;района
Жирновск;Жирновский Район;34;Волгоградская Область;района
Калач-на-Дону;Калачевский Район;34;Волгоградская Область;района
Камышин;(региональное);34;Волгоградская Область;-
Котельниково;Котельниковский Район;34;Волгоградская Область;района
Котово;Котовский Район;34;Волгоградская Область;района
Краснослободск;Среднеахтубинский Район;34;Волгоградская Область;-
Ленинск;Ленинский Район;34;Волгоградская Область;района
Михайловка;(региональное);34;Волгоградская Область;-
Николаевск;Николаевский Район;34;Волгоградская Область;района
Новоаннинский;Новоаннинский Район;34;Волгоградская Область;района
Палласовка;Палласовский Район;34;Волгоградская Область;района
Петров Вал;Камышинский Район;34;Волгоградская Область;-
Серафимович;Серафимовичский Район;34;Волгоградская Область;района
Суровикино;Суровикинский Район;34;Волгоградская Область;района
Урюпинск;(региональное);34;Волгоградская Область;-
Фролово;(региональное);34;Волгоградская Область;-
Бабаево;Бабаевский Район;35;Вологодская Область;района
Белозерск;Белозерский Район;35;Вологодская Область;района
Великий Устюг;Великоустюгский Район;35;Вологодская Область;района
Вологда;(региональное);35;Вологодская Область;региона
Вытегра;Вытегорский Район;35;Вологодская Область;района
Грязовец;Грязовецкий Район;35;Вологодская Область;района
Кадников;Сокольский Район;35;Вологодская Область;-
Кириллов;Кирилловский Район;35;Вологодская Область;района
Красавино;Великоустюгский Район;35;Вологодская Область;-
Никольск;Никольский Район;35;Вологодская Область;района
Сокол;Сокольский Район;35;Вологодская Область;района
Тотьма;Тотемский Район;35;Вологодская Область;района
Устюжна;Устюженский Район;35;Вологодская Область;района
Харовск;Харовский Район;35;Вологодская Область;района
Череповец;(региональное);35;Вологодская Область;-
Бобров;Бобровский Район;36;Воронежская Область;района
Богучар;Богучарский Район;36;Воронежская Область;района
Борисоглебск;Борисоглебский Район;36;Воронежская Область;района
Бутурлиновка;Бутурлиновский Район;36;Воронежская Область;района
Воронеж;(региональное);36;Воронежская Область;региона
Воронеж-45;(региональное);36;Воронежская Область;-
Калач;Калачеевский Район;36;Воронежская Область;района
Лиски;Лискинский Район;36;Воронежская Область;района
Нововоронеж;(региональное);36;Воронежская Область;-
Новохоперск;Новохоперский Район;36;Воронежская Область;района
Острогожск;Острогожский Район;36;Воронежская Область;района
Павловск;Павловский Район;36;Воронежская Область;района
Поворино;Поворинский Район;36;Воронежская Область;района
Россошь;Россошанский Район;36;Воронежская Область;района
Семилуки;Семилукский Район;36;Воронежская Область;района
Эртиль;Эртильский Район;36;Воронежская Область;района
Вичуга;Вичугский Район;37;Ивановская Область;района
Гаврилов Посад;Гаврилово-Посадский Район;37;Ивановская Область;района
Заволжск;Заволжский Район;37;Ивановская Область;района
Иваново;(региональное);37;Ивановская Область;региона
Кинешма;Кинешемский Район;37;Ивановская Область;района
Комсомольск;Комсомольский Район;37;Ивановская Область;района
Кохма;Ивановский Район;37;Ивановская Область;района
Наволоки;Кинешемский Район;37;Ивановская Область;-
Плес;Приволжский Район;37;Ивановская Область;-
Приволжск;Приволжский Район;37;Ивановская Область;района
Пучеж;Пучежский Район;37;Ивановская Область;района
Родники;Родниковский Район;37;Ивановская Область;района
Тейково;Тейковский Район;37;Ивановская Область;района
Фурманов;Фурмановский Район;37;Ивановская Область;района
Шуя;Шуйский Район;37;Ивановская Область;района
Южа;Южский Район;37;Ивановская Область;района
Юрьевец;Юрьевецкий Район;37;Ивановская Область;района
Алзамай;Нижнеудинский Район;38;Иркутская Область;-
Ангарск;(региональное);38;Иркутская Область;-
Байкальск;Слюдянский Район;38;Иркутская Область;-
Бирюсинск;Тайшетский Район;38;Иркутская Область;-
Бодайбо;(региональное);38;Иркутская Область;-
Братск;(региональное);38;Иркутская Область;-
Вихоревка;Братский Район;38;Иркутская Область;-
Железногорск-Илимский;Нижнеилимский Район;38;Иркутская Область;района
Зима;(региональное);38;Иркутская Область;-
Иркутск;(региональное);38;Иркутская Область;региона
Иркутск-45;(региональное);38;Иркутская Область;-
Киренск;Киренский Район;38;Иркутская Область;района
Нижнеудинск;(региональное);38;Иркутская Область;-
Саянск;(региональное);38;Иркутская Область;-
Свирск;(региональное);38;Иркутская Область;-
Слюдянка;Слюдянский Район;38;Иркутская Область;района
Тайшет;(региональное);38;Иркутская Область;-
Тулун;(региональное);38;Иркутская Область;-
Усолье-Сибирское;(региональное);38;Иркутская Область;-
Усть-Илимск;(региональное);38;Иркутская Область;-
Усть-Кут;(региональное);38;Иркутская Область;-
Черемхово;(региональное);38;Иркутская Область;-
Шелехов;(региональное);38;Иркутская Область;-
Багратионовск;Багратионовский Район;39;Калининградская Область;района
Балтийск;Балтийский Район;39;Калининградская Область;района
Гвардейск;Гвардейский Район;39;Калининградская Область;района
Гурьевск;Гурьевский Район;39;Калининградская Область;района
Гусев;Гусевский Район;39;Калининградская Область;района
Зеленоградск;Зеленоградский Район;39;Калининградская Область;района
Калининград;(региональное);39;Калининградская Область;региона
Краснознаменск;Краснознаменский Район;39;Калининградская Область;района
Ладушкин;(региональное);39;Калининградская Область;-
Мамоново;(региональное);39;Калининградская Область;-
Неман;Неманский Район;39;Калининградская Область;района
Нестеров;Нестеровский Район;39;Калининградская Область;района
Озерск;Озерский Район;39;Калининградская Область;района
Пионерский;(региональное);39;Калининградская Область;-
Полесск;Полесский Район;39;Калининградская Область;района
Правдинск;Правдинский Район;39;Калининградская Область;района
Приморск;Балтийский Район;39;Калининградская Область;-
Светлогорск;Светлогорский Район;39;Калининградская Область;района
Светлый;(региональное);39;Калининградская Область;-
Славск;Славский Район;39;Калининградская Область;района
Советск;(региональное);39;Калининградская Область;-
Черняховск;Черняховский Район;39;Калининградская Область;района
Балабаново;Боровский Район;40;Калужская Область;-
Белоусово;Жуковский Район;40;Калужская Область;-
Боровск;Боровский Район;40;Калужская Область;района
Боровск-1;Боровский Район;40;Калужская Область;-
Ермолино;Боровский Район;40;Калужская Область;-
Жиздра;Жиздринский Район;40;Калужская Область;района
Жуков;Жуковский Район;40;Калужская Область;района
Калуга;(региональное);40;Калужская Область;региона
Киров;Кировский Район;40;Калужская Область;района
Козельск;Козельский Район;40;Калужская Область;района
Кондрово;Дзержинский Район;40;Калужская Область;района
Кременки;Жуковский Район;40;Калужская Область;-
Людиново;Людиновский Район;40;Калужская Область;района
Малоярославец;Малоярославецкий Район;40;Калужская Область;района
Медынь;Медынский Район;40;Калужская Область;района
Мещовск;Мещовский Район;40;Калужская Область;района
Мосальск;Мосальский Район;40;Калужская Область;района
Обнинск;(региональное);40;Калужская Область;-
Сосенский;Козельский Район;40;Калужская Область;-
Спас-Деменск;Спас-Деменский Район;40;Калужская Область;района
Сухиничи;Сухиничский Район;40;Калужская Область;района
Таруса;Тарусский Район;40;Калужская Область;-
Юхнов;Юхновский Район;40;Калужская Область;района
Юхнов-1;Юхновский Район;40;Калужская Область;-
Юхнов-2;Юхновский Район;40;Калужская Область;-
Вилючинск;(региональное);41;Камчатский Край;-
Елизово;Елизовский Район;41;Камчатский Край;района
Петропавловск-Камчатский;(региональное);41;Камчатский Край;региона
Анжеро-Судженск;(региональное);42;Кемеровская Область;-
Белово;(региональное);42;Кемеровская Область;-
Березовский;(региональное);42;Кемеровская Область;-
Гурьевск;Гурьевский Район;42;Кемеровская Область;района
Калтан;(региональное);42;Кемеровская Область;-
Кемерово;(региональное);42;Кемеровская Область;региона
Киселевск;(региональное);42;Кемеровская Область;-
Ленинск-Кузнецкий;(региональное);42;Кемеровская Область;-
Мариинск;Мариинский Район;42;Кемеровская Область;района
Междуреченск;(региональное);42;Кемеровская Область;-
Мыски;(региональное);42;Кемеровская Область;-
Новокузнецк;(региональное);42;Кемеровская Область;-
Осинники;(региональное);42;Кемеровская Область;-
Полысаево;(региональное);42;Кемеровская Область;-
Прокопьевск;(региональное);42;Кемеровская Область;-
Салаир;Гурьевский Район;42;Кемеровская Область;-
Тайга;(региональное);42;Кемеровская Область;-
Таштагол;Таштагольский Район;42;Кемеровская Область;района
Топки;Топкинский Район;42;Кемеровская Область;района
Юрга;(региональное);42;Кемеровская Область;-
Белая Холуница;Белохолуницкий Район;43;Кировская Область;района
Вятские Поляны;Вятскополянский Район;43;Кировская Область;района
Зуевка;Зуевский Район;43;Кировская Область;района
Киров;(региональное);43;Кировская Область;региона
Кирово-Чепецк;Кирово-Чепецкий Район;43;Кировская Область;района
Кирс;Верхнекамский Район;43;Кировская Область;района
Котельнич;Котельничский Район;43;Кировская Область;района
Луза;Лузский Район;43;Кировская Область;района
Малмыж;Малмыжский Район;43;Кировская Область;района
Мураши;Мурашинский Район;43;Кировская Область;района
Нолинск;Нолинский Район;43;Кировская Область;района
Омутнинск;Омутнинский Район;43;Кировская Область;района
Орлов;Орловский Район;43;Кировская Область;района
Слободской;Слободской Район;43;Кировская Область;района
Советск;Советский Район;43;Кировская Область;района
Сосновка;Вятскополянский Район;43;Кировская Область;-
Уржум;Уржумский Район;43;Кировская Область;района
Яранск;Яранский Район;43;Кировская Область;района
Буй;Буйский Район;44;Костромская Область;района
Волгореченск;(региональное);44;Костромская Область;-
Галич;Галичский Район;44;Костромская Область;района
Кологрив;Кологривский Район;44;Костромская Область;района
Кострома;Костромской Район;44;Костромская Область;района и региона
Макарьев;Макарьевский Район;44;Костромская Область;района
Мантурово;Мантуровский Район;44;Костромская Область;района
Нерехта;Нерехтский Район;44;Костромская Область;района
Нея;Нейский Район;44;Костромская Область;района
Солигалич;Солигаличский Район;44;Костромская Область;района
Чухлома;Чухломский Район;44;Костромская Область;района
Шарья;Шарьинский Район;44;Костромская Область;района
Далматово;Далматовский Район;45;Курганская Область;района
Катайск;Катайский Район;45;Курганская Область;района
Курган;(региональное);45;Курганская Область;региона
